"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10300","test_e2eTest[test_data_item1]","tests","2026-03-06","passed","2026-03-06","","test_e2eTest","",""
"","10664","test_e2eTest[test_data_item0]","tests","2026-03-06","passed","2026-03-06","","test_e2eTest","",""
